Country,Scale,Base Year,2017,2018,2019,2020,2021,2022,2023
Montserrat,Millions,,162.27,169.84,177.24,180.49,190.47,198.032486005163,...
Morocco,Millions,,1148895.0,1195237.0,1239836.0,1152477.0,1274727,1330158,...
"Mozambique, Rep. of",Millions,,840526.219352722,895566.718654633,962620.791545868,983406.621422663,1032825.50390625,...,...
Myanmar,Millions,,82700020.0,92788960.0,105258500.0,115105760.0,98654170,...,...
Namibia,Millions,,171570.015625,181067.046875,181210.796875,174243.078125,183939.6875,206205.453125,...
"Nauru, Rep. of",Millions,,145.0,160.0,166.0,171.0,179,...,...
Nepal,Millions,,2933204.25120756,3177402.65664551,3565099.0924604703,3788088.81400761,4177372.65084304,4724839.22954287,5211088.51125582
"Netherlands, The",Millions,,738146.0,773987.0,813055.0,796530.0,870587,958549,...
New Zealand,Millions,,286431.0,302578.0,319803.0,322968.0,352870,380682,...
Nicaragua,Millions,,414279.057379975,410987.59030138596,417705.138108125,433447.9245662,492851.964844389,562208.428514176,...
Niger,Millions,,6494707.27090563,7114526.296879861,7567896.2637647,7910954.5331329405,8270826.12406453,...,...
Nigeria,Millions,,114899249.897718,129086907.451834,145639139.37913,154252318.897905,176075501.867034,202365026.787031,...
"North Macedonia, Republic of",Millions,,618105.482,660878.198249,692682.874032,669280.177788,720413.669177,794798.211969,...
Norway,Millions,,3323103.0,3576581.0,3596937.0,3461575.0,4211620,5570664,...
Oman,Millions,,31089.3532806597,35184.0255033007,33859.433381742805,29187.1633817408,33909.8153395877,...,...
Pakistan,Millions,,35552819.0,39189810.0,43798401.0,47540409.0,55795515,66949907,...
"Palau, Rep. of",Millions,,286.0,285.0,279.0,252.0,218,...,...
Panama,Millions,,62202.725204383496,64929.4092124567,66984.427150321,53977.0369951729,63605.0657806027,...,...
Papua New Guinea,Millions,,72521.6,79404.7,83843.7,82515.0,91444.449923715,...,...
Paraguay,Millions,,219122277.202831,230576477.470411,236681497.060741,239914728.793761,270633896.196495,291336457.145365,...
Peru,Millions,,687989.0,731588.0,761984.0,704939.0,866342,...,...
Philippines,Millions,,16556651.0832259,18265190.258161698,19517863.171682,17951573.5700127,19410614.4861832,22024515.000626,...
"Poland, Rep. of",Millions,,1982794.0,2126506.0,2288492.0,2337672.0,2631302,3067495,...
Portugal,Millions,,195947.21,205184.124,214374.62,200518.859,216053.209,242340.811,...
